date;id;condition;phase;type;start_time;end_time;unit;end_position;all_positions;gallery_shape_number;gallery;gallery_normalized
2025-07-27_18h11.58.511;999;individual;practice;added shape to gallery;73.88367779972032;nan;nan;nan;7;[[-0.035, -0.07], [0.035, 0.07], [0.035, -0.07], [0.035, -0.28], [-0.035, 0.0], [0.035, 0.0], [0.035, -0.14], [-0.035, 0.07], [0.035, 0.14], [0.035, -0.21]];[[0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.07, -0.21], [0.07, -0.14], [0.07, -0.07], [0.07, 0.0], [0.07, 0.07], [0.07, 0.14], [0.07, 0.21]]
2025-07-27_18h11.58.511;999;individual;practice;moveblock;76.33769729966298;77.10687389969826;0;[0.105, 0.07];[[-0.035, -0.07], [0.035, 0.07], [0.035, -0.07], [0.035, -0.28], [-0.035, 0.0], [0.035, 0.0], [0.035, -0.14], [-0.035, 0.07], [0.035, 0.14], [0.035, -0.21]];nan;nan;nan
2025-07-27_18h11.58.511;999;individual;practice;added shape to gallery;78.4784115999937;nan;nan;nan;8;[[0.105, 0.07], [0.035, 0.07], [0.035, -0.07], [0.035, -0.28], [-0.035, 0.0], [0.035, 0.0], [0.035, -0.14], [-0.035, 0.07], [0.035, 0.14], [0.035, -0.21]];[[-0.07, 0.07], [-0.07, 0.14], [0.0, -0.21], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.0, 0.21], [0.07, 0.14]]
2025-07-27_18h11.58.511;999;individual;practice;moveblock;80.30441429978237;81.19081129971892;4;[0.105, 0.0];[[0.105, 0.07], [0.035, 0.07], [0.035, -0.07], [0.035, -0.28], [-0.035, 0.0], [0.035, 0.0], [0.035, -0.14], [-0.035, 0.07], [0.035, 0.14], [0.035, -0.21]];nan;nan;nan
2025-07-27_18h11.58.511;999;individual;practice;moveblock;82.99374499963596;83.7743035000749;3;[0.105, -0.07];[[0.105, 0.07], [0.035, 0.07], [0.035, -0.07], [0.035, -0.28], [0.105, 0.0], [0.035, 0.0], [0.035, -0.14], [-0.035, 0.07], [0.035, 0.14], [0.035, -0.21]];nan;nan;nan
2025-07-27_18h11.58.511;999;individual;practice;moveblock;85.18761330004781;85.92267989972606;7;[0.105, -0.14];[[0.105, 0.07], [0.035, 0.07], [0.035, -0.07], [0.105, -0.07], [0.105, 0.0], [0.035, 0.0], [0.035, -0.14], [-0.035, 0.07], [0.035, 0.14], [0.035, -0.21]];nan;nan;nan
2025-07-27_18h11.58.511;999;individual;practice;moveblock;86.61534499982372;87.42242229962721;8;[0.105, -0.21];[[0.105, 0.07], [0.035, 0.07], [0.035, -0.07], [0.105, -0.07], [0.105, 0.0], [0.035, 0.0], [0.035, -0.14], [0.105, -0.14], [0.035, 0.14], [0.035, -0.21]];nan;nan;nan
2025-07-27_18h11.58.511;999;individual;practice;added shape to gallery;88.27882790006697;nan;nan;nan;9;[[0.105, 0.07], [0.035, 0.07], [0.035, -0.07], [0.105, -0.07], [0.105, 0.0], [0.035, 0.0], [0.035, -0.14], [0.105, -0.14], [0.105, -0.21], [0.035, -0.21]];[[-0.07, -0.14], [-0.07, -0.07], [-0.07, 0.0], [-0.07, 0.07], [-0.07, 0.14], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14]]
2025-07-27_18h11.58.511;999;individual;practice;moveblock;91.35289109963924;92.08836189983413;1;[0.175, 0.07];[[0.105, 0.07], [0.035, 0.07], [0.035, -0.07], [0.105, -0.07], [0.105, 0.0], [0.035, 0.0], [0.035, -0.14], [0.105, -0.14], [0.105, -0.21], [0.035, -0.21]];nan;nan;nan
2025-07-27_18h11.58.511;999;individual;practice;moveblock;93.72479929961264;94.28793219989166;2;[0.175, 0.0];[[0.105, 0.07], [0.175, 0.07], [0.035, -0.07], [0.105, -0.07], [0.105, 0.0], [0.035, 0.0], [0.035, -0.14], [0.105, -0.14], [0.105, -0.21], [0.035, -0.21]];nan;nan;nan
2025-07-27_18h11.58.511;999;individual;practice;added shape to gallery;95.3358708997257;nan;nan;nan;10;[[0.105, 0.07], [0.175, 0.07], [0.175, 0.0], [0.105, -0.07], [0.105, 0.0], [0.035, 0.0], [0.035, -0.14], [0.105, -0.14], [0.105, -0.21], [0.035, -0.21]];[[-0.07, -0.14], [-0.07, -0.07], [-0.07, 0.07], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.07, 0.07], [0.07, 0.14]]
